2009-01-10,HUMAN,The Killers,1,8,1,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
2009-01-10,MILES AWAY,Madonna,5,6,2,"['dance pop', 'pop']"
2009-01-10,STEPPING STONE,Duffy,2,12,3,"['british soul', 'dance pop', 'europop', 'neo soul']"
2009-01-10,SZUKAŁEM CIĘ WSRÓD JABŁEK,Grzegorz Tomczak i Iwona Loranc,7,5,4,['Other']
2009-01-10,ANUSIA,Kazik,3,5,5,['polish punk']
2009-01-10,KTO TAM U CIEBIE JEST,Nosowska,6,7,6,"['polish alternative', 'polish pop']"
2009-01-10,DON'T BELIEVE IN LOVE,Dido,8,15,7,['pop rock']
2009-01-10,LEAVE OUT ALL THE REST,Linkin Park,4,14,8,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
2009-01-10,DWOJE RÓŻNYCH,Dorota Miśkiewicz i Grzegorz Markowski,11,3,9,['Other']
2009-01-10,BETTER,Guns N' Roses,18,4,10,"['glam metal', 'hard rock', 'rock']"
2009-01-10,ANOTHER WAY TO DIE,Jack White & Alicia Keys,9,10,11,['Other']
2009-01-10,LOVERS IN JAPAN,Coldplay,16,4,12,"['permanent wave', 'pop']"
2009-01-10,SLEEP WHEN I'M DEAD,The Cure,12,9,13,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
2009-01-10,A GREAT DAY FOR FREEDOM,David Gilmour,10,18,14,"['album rock', 'art rock', 'blues rock', 'classic rock', 'progressive rock', 'rock', 'symphonic rock']"
2009-01-10,FRENCH CARTOON,Brainstorm,29,2,15,['p funk']
2009-01-10,TAKE BACK THE CITY,Snow Patrol,23,5,16,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
2009-01-10,PARZYDEŁKO,Pustki,24,11,17,"['polish alternative', 'polish indie']"
2009-01-10,SEX ON FIRE,Kings Of Leon,17,20,18,"['modern rock', 'rock']"
2009-01-10,THE DAY THAT NEVER COMES,Metallica,20,19,19,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
2009-01-10,STOP I DON'T LOVE YOU ANYMORE,Sharleen Spiteri,14,7,20,['new wave pop']
2009-01-10,TATANGO,Rafał Olbrychski,22,7,21,[]
