2006-06-16,LA ISLA BONITA,Madonna,N,1,1,"['dance pop', 'pop']"
2006-06-16,"HEJ, CZY NIE WIECIE",Kult,N,1,2,['new french touch']
2006-06-16,WITH OR WITHOUT YOU,U2,N,1,3,"['irish rock', 'permanent wave', 'rock']"
2006-06-16,CARRIE,Europe,N,1,4,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
2006-06-16,MANHATTAN SKYLINE,a-ha,N,1,5,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
2006-06-16,I JUST DIED IN YOUR ARMS,Cutting Crew,N,1,6,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
2006-06-16,LIVIN' ON A PRAYER,Bon Jovi,N,1,7,"['glam metal', 'rock']"
2006-06-16,DON'T DREAM IT'S OVER,Crowded House,N,1,8,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock', 'soft rock']"
2006-06-16,STRANGE LOVE,Depeche Mode,N,1,9,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']"
2006-06-16,LET IT BE,Ferry Aid,N,1,10,[]
2006-06-16,GLASS SPIDER,David Bowie,N,1,11,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
2006-06-16,BIEDNA PANI,Kobranocka,N,1,12,"['polish punk', 'polish rock']"
2006-06-16,JAK GDYBY NIGDY NIC,Voo Voo,N,1,13,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2006-06-16,ANOTHER MAN,Fotoness,N,1,14,[]
2006-06-16,TO JEST NASZA KULTURA,Sztywny Pal Azji,N,1,15,"['polish blues', 'polish punk', 'polish rock']"
2006-06-16,ALMAZ,Randy Crawford,N,1,16,"['adult standards', 'disco', 'new wave pop', 'quiet storm', 'soft rock', 'soul']"
2006-06-16,NOTHING'S GONNA STOP US NOW,Starship,N,1,17,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
2006-06-16,"TONIGHT, TONIGHT, TONIGHT",Genesis,N,1,18,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
2006-06-16,HEART OF THE SUN,Red Box,N,1,19,['sophisti-pop']
2006-06-16,THE FINAL COUNTDOWN,Europe,N,1,20,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
2006-06-16,PARYŻ-MOSKWA 17.15,Obywatel G.C.,N,1,21,['polish rock']
2006-06-16,NOWA ALEKSANDRIA,Siekiera,N,1,22,"['deathrock', 'polish hardcore', 'polish post-punk', 'polish punk']"
2006-06-16,BIG LOVE,Fleetwood Mac,N,1,23,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
2006-06-16,OVER THE HILLS AND FAR AWAY,Gary Moore,N,1,24,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']"
2006-06-16,INCOMMUNICADO,Marillion,N,1,25,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'symphonic rock']"
2006-06-16,DESIRE,Gene Loves Jezebel,N,1,26,"['gothic rock', 'new romantic', 'new wave', 'synthpop', 'welsh rock']"
2006-06-16,HEAT OF THE NIGHT,Bryan Adams,N,1,27,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
2006-06-16,EVERYTHING I OWN,Boy George,N,1,28,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
2006-06-16,HEARTBREAK BEAT,The Psychedelic Furs,N,1,29,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'rock']"
2006-06-16,LET'S WAIT AWHILE,Janet Jackson,N,1,30,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']"
1987-06-06,"HEJ, CZY NIE WIECIE",Kult,2,2,1,['new french touch']
1987-06-06,LA ISLA BONITA,Madonna,1,2,2,"['dance pop', 'pop']"
1987-06-06,I JUST DIED IN YOUR ARMS,Cutting Crew,6,2,3,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
1987-06-06,STRANGE LOVE,Depeche Mode,9,2,4,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']"
1987-06-06,WITH OR WITHOUT YOU,U2,3,2,5,"['irish rock', 'permanent wave', 'rock']"
1987-06-06,MANHATTAN SKYLINE,a-ha,5,2,6,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
1987-06-06,LIVIN' ON A PRAYER,Bon Jovi,7,2,7,"['glam metal', 'rock']"
1987-06-06,GLASS SPIDER,David Bowie,11,2,8,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
1987-06-06,CARRIE,Europe,4,2,9,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
1987-06-06,DON'T DREAM IT'S OVER,Crowded House,8,2,10,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock', 'soft rock']"
1987-06-06,TO JEST NASZA KULTURA,Sztywny Pal Azji,15,2,11,"['polish blues', 'polish punk', 'polish rock']"
1987-06-06,JAK GDYBY NIGDY NIC,Voo Voo,13,2,12,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
1987-06-06,INCOMMUNICADO,Marillion,25,2,13,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'symphonic rock']"
1987-06-06,ANOTHER MAN,Fotoness,14,2,14,[]
1987-06-06,HEAT OF THE NIGHT,Bryan Adams,27,2,15,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
1987-06-06,OVER THE HILLS AND FAR AWAY,Gary Moore,24,2,16,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']"
1987-06-06,BIEDNA PANI,Kobranocka,12,2,17,"['polish punk', 'polish rock']"
1987-06-06,ALMAZ,Randy Crawford,16,2,18,"['adult standards', 'disco', 'new wave pop', 'quiet storm', 'soft rock', 'soul']"
1987-06-06,"TONIGHT, TONIGHT, TONIGHT",Genesis,18,2,19,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
1987-06-06,LET IT BE,Ferry Aid,10,2,20,[]
1987-06-06,BIG LOVE,Fleetwood Mac,23,2,21,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
1987-06-06,NOTHING'S GONNA STOP US NOW,Starship,17,2,22,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
1987-06-06,THE FINAL COUNTDOWN,Europe,20,2,23,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
1987-06-06,I WANNA DANCE WITH SOMEBODY (WHO LOVES ME),Whitney Houston,N,1,24,"['dance pop', 'pop', 'urban contemporary']"
1987-06-06,HEART OF THE SUN,Red Box,19,2,25,['sophisti-pop']
1987-06-06,GIRLS,David Bowie,N,1,26,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
1987-06-06,HEARTBREAK BEAT,The Psychedelic Furs,29,2,27,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'rock']"
1987-06-06,PARYŻ-MOSKWA 17.15,Obywatel G.C.,21,2,28,['polish rock']
1987-06-06,LET'S WAIT AWHILE,Janet Jackson,30,2,29,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']"
1987-06-06,NOWA ALEKSANDRIA,Siekiera,22,2,30,"['deathrock', 'polish hardcore', 'polish post-punk', 'polish punk']"
1987-06-13,LA ISLA BONITA,Madonna,2,3,1,"['dance pop', 'pop']"
1987-06-13,I JUST DIED IN YOUR ARMS,Cutting Crew,3,3,2,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
1987-06-13,"HEJ, CZY NIE WIECIE",Kult,1,3,3,['new french touch']
1987-06-13,MANHATTAN SKYLINE,a-ha,6,3,4,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
1987-06-13,LIVIN' ON A PRAYER,Bon Jovi,7,3,5,"['glam metal', 'rock']"
1987-06-13,GLASS SPIDER,David Bowie,8,3,6,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
1987-06-13,STRANGE LOVE,Depeche Mode,4,3,7,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']"
1987-06-13,DON'T DREAM IT'S OVER,Crowded House,10,3,8,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock', 'soft rock']"
1987-06-13,WITH OR WITHOUT YOU,U2,5,3,9,"['irish rock', 'permanent wave', 'rock']"
1987-06-13,INCOMMUNICADO,Marillion,13,3,10,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'symphonic rock']"
1987-06-13,CARRIE,Europe,9,3,11,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']"
1987-06-13,I WANT YOUR SEX,George Michael,N,1,12,[]
1987-06-13,HEAT OF THE NIGHT,Bryan Adams,15,3,13,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
