2018-05-11,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,16,9,19,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-05-11,SPIT OUT THE BONE,Metallica,18,20,20,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
2018-05-11,MATTEO,Basia,22,4,21,"['smooth jazz', 'sophisti-pop']"
2018-05-11,SAFARI SONG,Greta Van Fleet,N,1,22,"['modern blues rock', 'modern hard rock', 'rock']"
2018-05-11,CZARNA DZIURA,Jaromir Nohavica,19,26,23,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-05-11,JAK BONNIE I CLYDE,Anita Lipnicka & The Hats feat. Tomasz Makowiecki,20,14,24,['Other']
2018-05-11,ALANNAH (TAK NIEWIELE CHCĘ),Kasia Kowalska,25,8,25,['polish pop']
2018-05-11,LOVE IS BIGGER THAN ANYTHING IN ITS WAY,U2,N,1,26,"['irish rock', 'permanent wave', 'rock']"
2018-05-11,TAK TĘSKNIĘ,Mikromusic,28,2,27,"['polish alternative', 'polish pop']"
2018-05-11,WAITING FOR THE BREAK OF DAY,Sting & Shaggy,30,4,28,['Other']
2018-05-11,MASTERS OF WAR (THE AVENER REWORK),Bob Dylan,26,9,29,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']"
2018-05-11,W OTCHŁANI BYĆ BEZ PANI,Sklep z Ptasimi Piórami & Joanna Kołaczkowska,N,1,30,['Other']
2018-05-18,KAPITAN POLSKA,Lao Che,1,7,1,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-18,JA PAS!,Nosowska,2,4,2,"['polish alternative', 'polish pop']"
2018-05-18,POCZĄTEK,Męskie Granie Orkiestra 2018,N,1,3,"['polish alternative', 'polish pop']"
2018-05-18,OD JOKOHAMY DO FUJISAWY,Artur Andrus,3,8,4,"['classic polish pop', 'poezja spiewana']"
2018-05-18,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,4,13,5,"['classic polish pop', 'poezja spiewana']"
2018-05-18,NIE RAJ,Lao Che,5,19,6,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-18,TAMAGOTCHI,Taconafide & Dawid Podsiadło,10,3,7,['Other']
2018-05-18,SAFARI SONG,Greta Van Fleet,22,2,8,"['modern blues rock', 'modern hard rock', 'rock']"
2018-05-18,OBŁĄKANY OBŁOK,Strachy na Lachy & Itsmisslilly,6,11,9,['Other']
2018-05-18,JESZCZE W ZIELONE GRAMY,Daria Zawiałow,8,26,10,"['polish alternative', 'polish indie', 'polish pop']"
2018-05-18,PRZYJDŹ W TAKĄ NOC,Krzysztof Zalewski,9,24,11,"['polish alternative rock', 'polish pop']"
2018-05-18,KANTERSTRAJK,Fisz Emade Tworzywo,7,8,12,['polish alternative']
2018-05-18,CHWYTAJ DZIEŃ,Kayah i Zbigniew Wodecki,N,1,13,['Other']
2018-05-18,PORUBA,Jaromir Nohavica,11,6,14,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-05-18,THE GLORY,The Cranberries,12,19,15,"['irish rock', 'pop rock']"
2018-05-18,IMMIGRANT SONG,Led Zeppelin,14,26,16,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-05-18,"DOBRZE, ŻE CIĘ MAM",Kortez,15,9,17,"['polish alternative', 'polish pop']"
2018-05-18,HUNGER,Florence And The Machine,18,3,18,"['baroque pop', 'pop', 'uk alternative pop']"
2018-05-18,SHADOW OF YOUR LOVE,Guns N' Roses,13,3,19,"['glam metal', 'hard rock', 'rock']"
2018-05-18,TAKE ON ME (MTV UNPLUGGED),a-ha,17,16,20,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
2018-05-18,SAILOR,Julia Pietrucha,16,12,21,"['polish alternative', 'polish pop']"
2018-05-18,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,19,10,22,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-05-18,SPIT OUT THE BONE,Metallica,20,21,23,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
2018-05-18,LOVE IS BIGGER THAN ANYTHING IN ITS WAY,U2,26,2,24,"['irish rock', 'permanent wave', 'rock']"
2018-05-18,MATTEO,Basia,21,5,25,"['smooth jazz', 'sophisti-pop']"
2018-05-18,CARRY FIRE,Robert Plant,N,1,26,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'symphonic rock', 'uk americana']"
2018-05-18,TAK TĘSKNIĘ,Mikromusic,27,3,27,"['polish alternative', 'polish pop']"
2018-05-18,WAITING FOR THE BREAK OF DAY,Sting & Shaggy,28,5,28,['Other']
2018-05-18,W OTCHŁANI BYĆ BEZ PANI,Sklep z Ptasimi Piórami & Joanna Kołaczkowska,30,2,29,['Other']
2018-05-18,FOUR OUT OF FIVE,Arctic Monkeys,N,1,30,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2018-05-25,POCZĄTEK,Męskie Granie Orkiestra 2018,3,2,1,"['polish alternative', 'polish pop']"
2018-05-25,KAPITAN POLSKA,Lao Che,1,8,2,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-25,JA PAS!,Nosowska,2,5,3,"['polish alternative', 'polish pop']"
2018-05-25,OD JOKOHAMY DO FUJISAWY,Artur Andrus,4,9,4,"['classic polish pop', 'poezja spiewana']"
2018-05-25,TAMAGOTCHI,Taconafide & Dawid Podsiadło,7,4,5,['Other']
2018-05-25,SAFARI SONG,Greta Van Fleet,8,3,6,"['modern blues rock', 'modern hard rock', 'rock']"
2018-05-25,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,5,14,7,"['classic polish pop', 'poezja spiewana']"
2018-05-25,NIE RAJ,Lao Che,6,20,8,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-25,CHWYTAJ DZIEŃ,Kayah i Zbigniew Wodecki,13,2,9,['Other']
2018-05-25,OBŁĄKANY OBŁOK,Strachy na Lachy & Itsmisslilly,9,12,10,['Other']
2018-05-25,JESZCZE W ZIELONE GRAMY,Daria Zawiałow,10,27,11,"['polish alternative', 'polish indie', 'polish pop']"
2018-05-25,PRZYJDŹ W TAKĄ NOC,Krzysztof Zalewski,11,25,12,"['polish alternative rock', 'polish pop']"
2018-05-25,KANTERSTRAJK,Fisz Emade Tworzywo,12,9,13,['polish alternative']
2018-05-25,PORUBA,Jaromir Nohavica,14,7,14,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-05-25,HUNGER,Florence And The Machine,18,4,15,"['baroque pop', 'pop', 'uk alternative pop']"
2018-05-25,SHADOW OF YOUR LOVE,Guns N' Roses,19,4,16,"['glam metal', 'hard rock', 'rock']"
2018-05-25,THE GLORY,The Cranberries,15,20,17,"['irish rock', 'pop rock']"
2018-05-25,IMMIGRANT SONG,Led Zeppelin,16,27,18,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-05-25,"DOBRZE, ŻE CIĘ MAM",Kortez,17,10,19,"['polish alternative', 'polish pop']"
2018-05-25,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,22,11,20,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-05-25,CARRY FIRE,Robert Plant,26,2,21,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'symphonic rock', 'uk americana']"
2018-05-25,FOUR OUT OF FIVE,Arctic Monkeys,30,2,22,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2018-05-25,LOVE IS BIGGER THAN ANYTHING IN ITS WAY,U2,24,3,23,"['irish rock', 'permanent wave', 'rock']"
2018-05-25,MATTEO,Basia,25,6,24,"['smooth jazz', 'sophisti-pop']"
2018-05-25,TAKE ON ME (MTV UNPLUGGED),a-ha,20,17,25,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
2018-05-25,SAILOR,Julia Pietrucha,21,13,26,"['polish alternative', 'polish pop']"
2018-05-25,W OTCHŁANI BYĆ BEZ PANI,Sklep z Ptasimi Piórami & Joanna Kołaczkowska,29,3,27,['Other']
2018-05-25,TAK TĘSKNIĘ,Mikromusic,27,4,28,"['polish alternative', 'polish pop']"
2018-05-25,WAITING FOR THE BREAK OF DAY,Sting & Shaggy,28,6,29,['Other']
2018-05-25,SPIT OUT THE BONE,Metallica,23,22,30,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
