2015-01-16,SAVE ME NOW,Billy Idol,21,3,17,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
2015-01-16,BRZASK,Skubas,16,7,18,"['polish alternative', 'polish indie']"
2015-01-16,CZAS KTÓRY POZOSTAŁ,Artur Rojek,17,17,19,"['polish alternative', 'polish indie', 'polish pop']"
2015-01-16,25 CENTS FOR A RIFF,Acid Drinkers,19,2,20,"['polish metal', 'polish punk', 'polish thrash metal']"
2015-01-16,DOBRY WIECZÓR,Voo Voo,20,9,21,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-01-16,SOMETHING FROM NOTHING,Foo Fighters,18,13,22,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
2015-01-16,SOBOTA,Pablopavo,22,7,23,"['polish alternative', 'polish reggae']"
2015-01-16,ODNAWIAM DUSZE,Perfect,23,14,24,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
2015-01-16,ALLONS-Y,Pink Floyd,24,10,25,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
2015-01-16,VIOLET MOUNTAIN TOPS,Bokka,29,2,26,"['polish alternative', 'polish electronica', 'polish indie']"
2015-01-16,I LOVE PARIS - J'AIME PARIS,Zaz & Nikki Yanofsky,27,4,27,['Other']
2015-01-16,THIRD DAY OF A SEVEN DAY BINGE,Marilyn Manson,30,2,28,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal']"
2015-01-16,LOOP DE LI,Bryan Ferry,N,1,29,"['art rock', 'classic rock', 'classic uk pop', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'solo wave', 'sophisti-pop']"
2015-01-16,IT TAKES A LOT TO KNOW A MAN,Damien Rice,N,1,30,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']"
2015-01-23,TAKE ME TO CHURCH,Hozier,3,12,1,"['irish singer-songwriter', 'modern rock', 'pop']"
2015-01-23,ŚLADY,Fisz Emade Tworzywo feat. Justyna Święs,1,9,2,['Other']
2015-01-23,ŻURAWIE ORIGAMI,Mela Koteluk,2,12,3,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-01-23,PYŁ,Fisz Emade Tworzywo feat. Justyna Święs,5,17,4,['Other']
2015-01-23,NAZYWAM SIĘ NIEBO,Natalia Przybysz,4,9,5,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-01-23,ROZBITY DZBAN,KSU,6,13,6,['japanese edm']
2015-01-23,BERYL,Mark Knopfler,11,2,7,"['album rock', 'classic rock', 'folk rock', 'mellow gold']"
2015-01-23,GŁUPI JA,Organek,7,11,8,"['polish alternative', 'polish alternative rock', 'polish pop']"
2015-01-23,LOUDER THAN WORDS,Pink Floyd,8,16,9,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
2015-01-23,BLACK AND BLUE,Archive,12,4,10,"['electronica', 'trip hop']"
2015-01-23,NIE MAM DLA CIEBIE MIŁOŚCI,Skubas,9,36,11,"['polish alternative', 'polish indie']"
2015-01-23,KUP SOBIE PSA,Piotr Bukartyk,10,14,12,"['classic polish pop', 'poezja spiewana']"
2015-01-23,ROCK OR BUST,AC/DC,13,9,13,"['australian rock', 'hard rock', 'rock']"
2015-01-23,TRI ROHY PENALTA,Jaromir Nohavica,15,7,14,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2015-01-23,EVERY BREAKING WAVE,U2,14,10,15,"['irish rock', 'permanent wave', 'rock']"
2015-01-23,SAVE ME NOW,Billy Idol,17,4,16,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
2015-01-23,BRZASK,Skubas,18,8,17,"['polish alternative', 'polish indie']"
2015-01-23,PLAY BALL,AC/DC,16,16,18,"['australian rock', 'hard rock', 'rock']"
2015-01-23,CZAS KTÓRY POZOSTAŁ,Artur Rojek,19,18,19,"['polish alternative', 'polish indie', 'polish pop']"
2015-01-23,DOBRY WIECZÓR,Voo Voo,21,10,20,"['classic polish pop', 'polish alternative', 'polish blues', 'polish post-punk', 'polish rock']"
2015-01-23,ALONE IN MY HOME,Jack White,N,1,21,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
2015-01-23,ZIARNO PRAWDY,Nosowska,N,1,22,"['polish alternative', 'polish pop']"
2015-01-23,IT TAKES A LOT TO KNOW A MAN,Damien Rice,30,2,23,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']"
2015-01-23,25 CENTS FOR A RIFF,Acid Drinkers,20,3,24,"['polish metal', 'polish punk', 'polish thrash metal']"
2015-01-23,SOBOTA,Pablopavo,23,8,25,"['polish alternative', 'polish reggae']"
2015-01-23,VIOLET MOUNTAIN TOPS,Bokka,26,3,26,"['polish alternative', 'polish electronica', 'polish indie']"
2015-01-23,SOMETHING FROM NOTHING,Foo Fighters,22,14,27,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
2015-01-23,ODNAWIAM DUSZE,Perfect,24,15,28,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
2015-01-23,LOOP DE LI,Bryan Ferry,29,2,29,"['art rock', 'classic rock', 'classic uk pop', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'solo wave', 'sophisti-pop']"
2015-01-23,THIRD DAY OF A SEVEN DAY BINGE,Marilyn Manson,28,3,30,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal']"
2015-01-30,TAKE ME TO CHURCH,Hozier,1,13,1,"['irish singer-songwriter', 'modern rock', 'pop']"
2015-01-30,ŚLADY,Fisz Emade Tworzywo feat. Justyna Święs,2,10,2,['Other']
2015-01-30,ŻURAWIE ORIGAMI,Mela Koteluk,3,13,3,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-01-30,GŁUPI JA,Organek,8,12,4,"['polish alternative', 'polish alternative rock', 'polish pop']"
2015-01-30,ROZBITY DZBAN,KSU,6,14,5,['japanese edm']
2015-01-30,PYŁ,Fisz Emade Tworzywo feat. Justyna Święs,4,18,6,['Other']
2015-01-30,BERYL,Mark Knopfler,7,3,7,"['album rock', 'classic rock', 'folk rock', 'mellow gold']"
2015-01-30,NAZYWAM SIĘ NIEBO,Natalia Przybysz,5,10,8,"['poezja spiewana', 'polish alternative', 'polish pop']"
2015-01-30,BLACK AND BLUE,Archive,10,5,9,"['electronica', 'trip hop']"
2015-01-30,LOUDER THAN WORDS,Pink Floyd,9,17,10,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
