,Unnamed: 0,artist_uri,genres
53,53,7slfeZO9LsJbWgpkIoXBUJ,"['latin', 'dance pop', 'latin pop', 'mexican pop', 'puerto rican pop']"
54,54,13YmWQJFwgZrd4bf5IjMY4,"['country', 'contemporary country', 'country road']"
55,55,3qbnxnvUqR14MJ9g8QwZJK,"['country', 'contemporary country', 'country road']"
56,56,5EvFsr3kj42KNv97ZEnqij,"['pop rap', 'reggae fusion']"
57,57,3OsUvoKmZA2gw8rETtxGlz,['dance pop']
58,58,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
59,59,7urq0VfqxEYEEiZUkebXT4,"['r&b', 'rap', 'boy band', 'contemporary r&b', 'dance pop', 'gangster rap', 'hip pop', 'pop rap', 'urban contemporary', 'atl hip hop', 'southern hip hop']"
60,60,7aBzpmFXB4WWpPl2F7RjBe,['rap kreyol']
61,61,1XhhO2dTs2fKyhILj0aam6,"['country', 'contemporary country', 'country road', 'modern country rock']"
62,62,6OqQbeNe7Pi7Zi7SNTi9ko,"['country', 'queer country']"
63,63,7J2lZBANizgPNfUzux31PV,"['neo mellow', 'permanent wave', 'pop rock']"
64,64,25NQNriVT2YbSW80ILRWJa,"['country', 'contemporary country', 'country dawn', 'country road', 'dance pop', 'pop rock']"
65,65,738OS3zrCO782uDiUN9pet,"['country', 'contemporary country', 'country dawn', 'country road', 'country rock']"
66,66,7y1GT7SdgGiFLWoktv2TSw,['boy band']
67,67,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
68,68,4mxWe1mtYIYfP040G38yvS,"['country', 'contemporary country', 'country road']"
69,69,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop', 'detroit hip hop']"
70,70,4jWzNq3sdzSpqn7BnzvIKn,"['rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'hardcore hip hop', 'southern hip hop', 'east coast hip hop']"
71,71,3ltFy7g6KKQPPttsdOMlq3,"['country', 'contemporary country', 'country dawn', 'country road']"
72,72,3zTOe1BtyTkwNvYZOxXktX,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
73,73,165ZgPlLkK7bf5bDoFc6Sb,"['alternative metal', 'funk metal', 'nu metal', 'rap metal']"
74,74,4iSKnRZAxkmqNok6tv10Se,"['alternative metal', 'funk metal', 'nu metal', 'rap rock']"
75,75,4tujQJicOnuZRLiBFdp3Ou,"['rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'detroit hip hop', 'hardcore hip hop', 'west coast rap']"
76,76,6sQVeggRv1AhrMzuCjhCZe,"['country', 'contemporary country', 'country dawn', 'country road']"
77,77,4sbB4Yy6Qig51pKCIKSLw3,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
78,78,2d3VHzlOEwXvmBdS4pzOPL,"['country', 'country dawn', 'dance pop']"
79,79,6O74knDqdv3XaWtkII7Xjp,"['r&b', 'boy band', 'contemporary r&b', 'urban contemporary', 'new jack swing']"
80,80,7C9ZVDO4Ubwssa6bB7475f,[]
81,81,0u2FHSq3ln94y5Q57xazwf,"['country', 'australian country', 'australian pop', 'contemporary country', 'country road']"
82,82,7mPcfx7PhnBh6n4HMCd61A,"['country', 'contemporary country', 'country road', 'country rock']"
83,83,4v0y12yBFdD5V31vo95Dco,[]
84,84,2bA6fzP0lMAQ4kz6CF61w8,"['country', 'contemporary country', 'country road', 'oklahoma country']"
85,85,4WC2Edj7Ruq94JH2jkC5hB,"['r&b', 'contemporary r&b', 'urban contemporary']"
86,86,0a1gHP0HAqALbEyxaD5Ngn,"['country', 'contemporary country', 'country road']"
87,87,1Oa0bMld0A3u5OTYfMzp5h,"['rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'west coast rap']"
88,88,47opbYEKDjXnRk9uLscp11,"['gospel', 'gospel r&b']"
89,89,49FeZO3eSrJs7oH7lYLU1r,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
90,90,5LfGQac0EIXyAN8aUwmNAQ,"['punk', 'rock', 'alternative metal', 'permanent wave', 'skate punk', 'socal pop punk']"
91,91,4L3GTE04bW5N7azA9QPhjA,"['dancehall', 'soca', 'jamaican dancehall', 'lovers rock', 'reggae fusion']"
92,92,5UloVKzUNJcjORzhhTWWiJ,['karaoke']
93,93,4wLXwxDeWQ8mtUIRPxGiD6,"['latin', 'salsa', 'tropical', 'latin pop', 'modern salsa']"
94,94,0AkpPlFLnr0VQwZQeMGht0,"['disco house', 'filter house', 'vocal house']"
95,95,0HLOP0AdsaWe5Pt5TNueGC,"['country', 'alberta country', 'canadian country', 'contemporary country', 'country dawn', 'country road', 'canadian contemporary country']"
96,96,0GQkTwFb7D3ePIpnxwYavf,[]
97,97,0cQbJU1aAzvbEmTuljWLlF,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock']"
98,98,4XwKU420OWVk38vz1KvH3M,"['country', 'redneck', 'country road', 'country rock']"
99,99,1Z8ODXyhEBi3WynYw0Rya6,"['rap', 'gangster rap', 'hip hop', 'jazz rap', 'alternative hip hop', 'hardcore hip hop', 'east coast hip hop', 'golden age hip hop']"
100,100,1Y8cdNmUJH7yBTd9yOvr5i,"['pop', 'r&b', 'dance pop', 'girl group', 'hip pop', 'urban contemporary']"
101,101,0GQkTwFb7D3ePIpnxwYavf,[]
102,102,3tCGqGQclabrpQfcHRmDtK,['karaoke']
103,103,6lHL3ubAMgSasKjNqKb8HF,"['r&b', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
104,104,43sZBwHjahUvgbx1WNIkIz,"['post-grunge', 'rock', 'alternative metal', 'nu metal', 'pop rock']"
105,105,25NQNriVT2YbSW80ILRWJa,"['country', 'contemporary country', 'country dawn', 'country road', 'dance pop', 'pop rock']"
106,106,1G9G7WwrXka3Z1r7aIDjI7,"['rap', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
107,107,3Ngh2zDBRPEriyxQDAMKd1,"['post-grunge', 'neo mellow', 'pop rock']"
108,108,6Ff53KvcvAj5U7Z1vojB5o,"['boy band', 'dance pop', 'post-teen pop']"
109,109,0tRRrNLQY5rejEDVSjy4w3,"['hip pop', 'urban contemporary']"
110,110,5gznATMVO85ZcLTkE9ULU7,"['rock', 'permanent wave', 'pop rock']"
111,111,3nFkdlSjzX9mRTtwJOzDYB,"['rap', 'hip hop', 'east coast hip hop']"
112,112,2DlGxzQSjYe5N6G9nkYghR,"['pop', 'dance pop', 'pop rap', 'urban contemporary']"
113,113,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
114,114,2gBjLmx6zQnFGQJCAQpRgw,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'pop rap', 'urban contemporary', 'southern hip hop', 'st louis rap']"
115,115,2mxe0TnaNL039ysAj51xPQ,[]
116,116,7L12TqJ0fbwtFljTbwfwRI,"['europop', 'bubblegum dance', 'dance pop']"
117,117,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
118,118,4zKhX6hYCQPNs406umP9Fx,"['boy band', 'dance pop']"
119,119,1xeZcY93inQY14LWwnxd5G,"['neo mellow', 'pop rock']"
120,120,0dEvJpkqhrcn64d3oI8v79,"['comic', 'canadian pop', 'canadian rock', 'pop rock']"
121,121,6tbjWDEIzxoDsBA1FuhfPW,"['pop', 'dance pop']"
122,122,3LIJJJkO7R5RasRwt7xIn5,"['crunk', 'rap', 'trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'dirty south rap', 'new orleans rap', 'southern hip hop']"
123,123,51Blml2LZPmy7TTiAg47vQ,"['rock', 'irish rock', 'permanent wave']"
124,124,2XV7DmS330NZ5IwdnzConn,[]
125,125,5rSXSAkZ67PYJSvpUpkOr7,"['boy band', 'dance pop']"
126,126,3ipn9JLAPI5GUEo4y4jcoi,"['rap', 'trap', 'dance pop', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
127,127,26dSoYclwsYLMAKD3tpOr4,"['pop', 'dance pop', 'post-teen pop']"
128,128,6tbjWDEIzxoDsBA1FuhfPW,"['pop', 'dance pop']"
129,129,1J2VVASYAamtQ3Bt8wGgA6,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'queens hip hop', 'east coast hip hop']"
130,130,0EyuKHE1AeE9lWUF8mzKVp,"['post-grunge', 'rock', 'alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'rap rock']"
131,131,0AunegKKH2ys98aLxq8G1A,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
132,132,6roFdX1y5BYSbp60OTJWMd,"['country', 'contemporary country', 'country road']"
133,133,3UVRliakQfa1pMWIsNuiZ8,"['r&b', 'contemporary r&b', 'dance pop', 'neo soul', 'quiet storm', 'urban contemporary']"
134,134,05RZIdfz59ZW2FvFuwnmNK,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'quiet storm', 'urban contemporary']"
135,135,25IG9fa7cbdmCIy3OnuH57,"['country', 'country dawn']"
136,136,3OsRAKCvk37zwYcnzRf5XF,"['downtempo', 'electronica']"
137,137,3Ngh2zDBRPEriyxQDAMKd1,"['post-grunge', 'neo mellow', 'pop rock']"
138,138,02JTFUpX3CgLWXNKEXIvcb,"['r&b', 'contemporary r&b', 'urban contemporary', 'new jack swing']"
139,139,7352aRY2mqSxBZwzUb6LmA,"['r&b', 'rap', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'southern hip hop']"
140,140,0ThrQemMA2B8xxusTUl8IM,"['r&b', 'contemporary r&b', 'hip pop', 'urban contemporary']"
141,141,3grHWM9bx2E9vwJCdlRv9O,"['country', 'contemporary country', 'country road']"
142,142,6V03b3Y36lolYP2orXn8mV,"['boy band', 'dance pop']"
143,143,7qvsLYsYP0MHD7jkdv6DAG,"['country', 'contemporary country', 'country dawn', 'country gospel', 'country road']"
144,144,2lFHVcUeJ9Gq6AZiU3ZAOa,"['r&b', 'contemporary r&b', 'girl group', 'hip pop', 'urban contemporary']"
145,145,1J2VVASYAamtQ3Bt8wGgA6,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'queens hip hop', 'east coast hip hop']"
146,146,3qbnxnvUqR14MJ9g8QwZJK,"['country', 'contemporary country', 'country road']"
147,147,2M4Yt7oKGoYd0wqU44k4i2,"['country', 'contemporary country', 'country road', 'country rock', 'outlaw country']"
148,148,6Hizgjo92FnMp8wGaRUNTn,"['post-grunge', 'neo mellow', 'pop rock']"
149,149,7Aq8lpLMSt1Zxu56pe9bmp,"['r&b', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'urban contemporary', 'atl hip hop', 'southern hip hop']"
150,150,5Z1reBuaReg2pg72I2mnMm,"['r&b', 'contemporary r&b', 'neo soul', 'quiet storm', 'urban contemporary', 'new jack swing']"
151,151,6I6t21SFbxZ7RbQgD5dN7U,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
152,152,13YmWQJFwgZrd4bf5IjMY4,"['country', 'contemporary country', 'country road']"
153,153,0fkl9OpYCl6wOh8UvcMabC,[]
154,154,7slfeZO9LsJbWgpkIoXBUJ,"['latin', 'dance pop', 'latin pop', 'mexican pop', 'puerto rican pop']"
155,155,5EvFsr3kj42KNv97ZEnqij,"['pop rap', 'reggae fusion']"
156,156,738OS3zrCO782uDiUN9pet,"['country', 'contemporary country', 'country dawn', 'country road', 'country rock']"
157,157,1XhhO2dTs2fKyhILj0aam6,"['country', 'contemporary country', 'country road', 'modern country rock']"
158,158,3ltFy7g6KKQPPttsdOMlq3,"['country', 'contemporary country', 'country dawn', 'country road']"
159,159,7urq0VfqxEYEEiZUkebXT4,"['r&b', 'rap', 'boy band', 'contemporary r&b', 'dance pop', 'gangster rap', 'hip pop', 'pop rap', 'urban contemporary', 'atl hip hop', 'southern hip hop']"
160,160,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
